------------------------------------------------------------------------

  Format: wavelength (microns), real and imaginary indices of refraction.
  Tables A2-A6 are in free format.

------------------------------------------------------------------------

                                   Table A2
_____________________________________________________________________________
   WAVELENGTH WATER             ICE              SODIUM CHLORIDE  SEA SALT
   microns    n     k           n     k          n      k         n      k
   120.000   2.082  0.420      1.819  0.120      2.590  0.0770    0.000  0.00
   135.000   2.094  0.410      1.819  0.108      2.540  0.0720    0.000  0.00
   150.000   2.106  0.400      1.823  0.0962     2.500  0.0640    0.000  0.00
   165.000   2.109  0.410      1.829  0.0846     2.480  0.0560    0.000  0.00
   180.000   2.113  0.420      1.832  0.0650     2.470  0.0520    0.000  0.00
   200.000   2.117  0.430      1.827  0.0452     2.450  0.0470    0.000  0.00
   250.000   2.120  0.460      1.807  0.0222     2.440  0.0410    0.000  0.00
   300.000   2.121  0.490      1.795  0.0153     2.430  0.0300    0.000  0.00
   400.000   2.142  0.530      1.786  0.0125     2.430  0.0270    0.000  0.00
   500.000   2.177  0.580      1.783  0.0106     2.430  0.0240    0.000  0.00
   750.000   2.291  0.650      1.782  0.0080     2.430  0.0120    0.000  0.00
  1000.000   2.437  0.730      1.781  0.0065     2.430  0.0080    0.000  0.00
  1500.000   2.562  0.960      1.782  0.0049     2.430  0.0061    0.000  0.00
  2000.000   2.705  1.19       1.782  0.0040     2.430  0.0047    0.000  0.00
  3000.000   3.013  1.59       1.782  0.0030     2.430  0.0029    0.000  0.00
  5000.000   3.627  2.14       1.783  0.0021     2.430  0.0024    0.000  0.00
 10000.000   4.954  2.79       1.784  0.0013     2.430  5.6e-4    0.000  0.00
 20000.000   6.728  2.87       1.784  7.9e-4     2.430  4.1e-4    0.000  0.00
 30000.000   7.682  2.51       1.784  5.9e-4     2.430  2.6e-4    0.000  0.00
